@RELATION train

@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE f22 REAL
@ATTRIBUTE f23 REAL
@ATTRIBUTE f24 REAL
@ATTRIBUTE f25 REAL
@ATTRIBUTE f26 REAL
@ATTRIBUTE f27 REAL
@ATTRIBUTE f28 REAL
@ATTRIBUTE f29 REAL
@ATTRIBUTE f30 REAL
@ATTRIBUTE f31 REAL
@ATTRIBUTE f32 REAL
@ATTRIBUTE f33 REAL
@ATTRIBUTE f34 REAL
@ATTRIBUTE f35 REAL
@ATTRIBUTE class {A,B,R,U,V,W}

@DATA
1,0.2286931,0,82.89681,56.05696,0,0.09880704,-0.482642,-0.8702263,0.1929407,-0.2222393,-0.955711,0.09364124,-0.3069196,-0.9471176,0.02121754,-0.2872253,-0.957628,-0.03957717,-0.2552738,-0.9660584,0,1,1,1,1,29.2479,61.83994,71.06615,68.22954,56.65565,15.67402,9.395581,11.28848,44.97279,U
1,0.1678002,0,82.89681,57.12091,0,0.1538154,-0.455397,-0.8769005,0.1674885,-0.1705395,-0.9710118,0.08495694,-0.2895816,-0.9533755,0.02303835,-0.2846672,-0.9583495,-0.1161917,-0.2481831,-0.9617196,0,1,1,1,1,28.74848,62.20545,71.17287,68.23473,56.44791,15.43216,9.452574,10.5872,46.31239,U
1,0.2000867,0,82.89681,54.58663,0,0.05961603,-0.3995484,-0.9147716,0.3189351,-0.12673,-0.9392656,0.1426355,-0.2673976,-0.9529709,0.03990481,-0.3148189,-0.9483125,-0.08501891,-0.3244407,-0.9420775,0,1,1,1,1,27.57025,61.2392,70.99041,67.82101,55.81245,15.66995,7.383816,10.86126,42.84319,U
0.8516834,1.613284,0,82.89681,67.02934,0.8790064,0.4265823,-0.5999274,-0.6768417,-0.02213333,-0.300401,-0.9535562,0.2844935,-0.311553,-0.9066411,-0.3736287,-0.4778113,0.7950459,-0.5105472,-0.4471285,0.7344505,0,1,1,0,0,27.9176,68.9597,70.81449,20.4641,18.16001,7.543272,77.38741,19.73379,58.32838,V
1,1.570875,0,82.89681,65.52831,0.958312,0.37473,-0.6182726,-0.690881,-0.01328888,-0.3424896,-0.9394276,0.2950174,-0.3087403,-0.9042367,-0.3798105,-0.5135471,0.769424,-0.5243481,-0.5019936,0.6877947,0,1,1,0,0,27.79758,68.48368,70.72876,20.38344,18.1108,7.409512,74.86272,20.01564,56.92934,V
1,1.573614,0,82.89681,65.55447,0.9462193,0.3735345,-0.6174974,-0.6922203,-0.02171345,-0.3417656,-0.9395344,0.2935973,-0.3093138,-0.9045029,-0.369971,-0.5181115,0.7711563,-0.51784,-0.4954756,0.6973849,0,1,1,0,0,27.8871,68.45869,70.72945,20.49062,18.09721,7.500904,75.01508,20.22817,56.85983,V
1,1.577405,0,82.89681,65.51777,0.961466,0.3782589,-0.618479,-0.6887698,-0.02770476,-0.3499245,-0.9363682,0.2977804,-0.3194383,-0.8996032,-0.3701724,-0.5216112,0.7686965,-0.5214769,-0.4921929,0.6969993,0,1,1,0,0,27.72917,68.41227,70.56704,20.51764,18.07465,7.557743,74.68262,20.55837,56.9854,V
0.2811595,1.608495,0,82.89681,64.96441,0.8114015,0.358712,-0.6181251,-0.6994619,-0.02571508,-0.3546401,-0.9346492,0.2731647,-0.3014646,-0.9135098,-0.3556021,-0.4650914,0.8107017,-0.4868184,-0.4390975,0.7551168,0,1,1,0,0,28.43972,68.32419,71.07086,20.1029,18.07826,7.476532,77.16025,19.74624,56.10833,V
0.92461,1.576759,0,82.89681,65.9239,0.8851668,0.3639574,-0.6224362,-0.6928984,-0.03662414,-0.3325739,-0.9423658,0.2797455,-0.3056074,-0.9101354,-0.3571383,-0.5083013,0.7836339,-0.492281,-0.4724714,0.7310473,0,1,1,0,0,28.14081,68.55922,70.93665,20.78256,18.393,7.667601,76.45549,20.17136,57.07115,V
1,1.579941,0,82.89681,65.22884,0.964398,0.3774446,-0.6226111,-0.685486,-0.02813394,-0.3681359,-0.9293462,0.2953267,-0.3296284,-0.8967314,-0.3652166,-0.5181346,0.7734038,-0.521215,-0.4914368,0.6977282,0,1,1,0,0,27.6385,68.16332,70.48323,20.53846,18.06266,7.510149,74.6095,20.53233,56.73423,V
1,1.583018,0,82.89681,65.57182,0.9634271,0.3811374,-0.6224337,-0.6836013,-0.02537988,-0.3554428,-0.9343535,0.2947424,-0.321974,-0.8996997,-0.372188,-0.5147167,0.7723618,-0.5243903,-0.4835872,0.7008268,0,1,1,0,0,27.65401,68.3489,70.57001,20.4463,18.01339,7.576985,74.76184,20.3892,57.12025,V
1,1.583861,0,82.89681,65.37454,0.9374883,0.3703294,-0.6252481,-0.686965,-0.02848593,-0.362535,-0.9315347,0.2899563,-0.3302285,-0.898262,-0.3645689,-0.5035773,0.783262,-0.514375,-0.4798541,0.7107449,0,1,1,0,0,27.75274,68.2086,70.5392,20.46876,18.12888,7.44533,75.12827,20.33891,56.76464,V
1,1.58389,0,82.89681,65.61705,0.991716,0.3893524,-0.6240792,-0.6774437,-0.02752522,-0.361797,-0.9318505,0.2929958,-0.3280472,-0.8980749,-0.379584,-0.5122495,0.7704002,-0.5298312,-0.4817467,0.6979963,0,1,1,0,0,27.41161,68.30382,70.52528,20.42707,18.02127,7.580493,74.57772,20.41526,57.41844,V
1,1.589041,0,82.89681,65.63151,0.9803178,0.3932381,-0.6197114,-0.6792066,-0.02621449,-0.3582564,-0.9332551,0.2951163,-0.3263178,-0.8980107,-0.3752091,-0.5096321,0.7742695,-0.5266955,-0.4804156,0.7012793,0,1,1,0,0,27.48814,68.33506,70.51871,20.33069,17.94083,7.560596,74.67793,20.43527,57.38764,V
1,1.585545,0,82.89681,65.58073,0.9857547,0.3871102,-0.6227381,-0.679958,-0.02857163,-0.3606649,-0.9322577,0.2951219,-0.3280136,-0.8973908,-0.3756196,-0.5145506,0.7708098,-0.527671,-0.4809285,0.7001935,0,1,1,0,0,27.49597,68.30103,70.4966,20.40406,17.97253,7.612117,74.47145,20.51837,57.30024,V
1,1.584368,0,82.89681,65.43324,0.9968613,0.3860965,-0.6242588,-0.6791395,-0.03298952,-0.3694521,-0.928664,0.2910094,-0.3325692,-0.897057,-0.3697942,-0.5170832,0.7719308,-0.5216418,-0.4825377,0.7035959,0,1,1,0,0,27.40148,68.1506,70.50377,20.43858,17.97338,7.647162,74.32806,20.55387,57.22896,V
1,1.589093,0,82.89681,65.36358,0.9858994,0.3703027,-0.6346124,-0.6783384,-0.05829671,-0.3940977,-0.9172178,0.2761308,-0.3428178,-0.8979019,-0.3447211,-0.4947895,0.797716,-0.4953542,-0.4698049,0.7306898,0,1,1,0,0,27.31717,67.5995,70.58567,20.29597,17.92824,7.540932,74.66428,21.02889,56.95234,V
1,1.589562,0,82.89681,66.17844,1,0.3930514,-0.6273515,-0.6722654,-0.07508813,-0.3842489,-0.920171,0.2611291,-0.3326124,-0.9061902,-0.2976252,-0.4953388,0.8161242,-0.4605273,-0.4748604,0.7499481,0,1,1,0,0,26.96835,67.37833,70.87756,19.98845,17.55517,7.533289,74.69558,21.14581,57.84232,V
1,1.508721,0,82.89681,66.59878,1,0.3834005,-0.6679792,-0.6378149,-0.08931178,-0.401238,-0.9116094,0.239857,-0.346985,-0.9066808,-0.290653,-0.5926051,0.7512257,-0.4694289,-0.5238318,0.7108002,0,1,1,0,0,26.46633,67.01469,70.93334,21.5965,18.2265,8.343954,72.39389,20.95358,58.97071,V
1,1.499716,0,82.89681,65.54837,1,0.3512658,-0.6750258,-0.6488086,-0.1023009,-0.4316452,-0.8962237,0.2425078,-0.3626379,-0.8998243,-0.2698054,-0.6162571,0.7398866,-0.4550752,-0.5392286,0.7086177,0,1,1,0,0,26.61643,66.46559,70.70801,22.206,18.63281,8.39004,72.2066,21.62249,57.53835,V
1,1.504831,0,82.89681,64.82616,1,0.3504499,-0.6667789,-0.6577163,-0.1007252,-0.4620717,-0.8811039,0.2036133,-0.3698133,-0.9065207,-0.2657113,-0.6069092,0.7490386,-0.4596806,-0.5174487,0.7217622,0,1,1,0,0,26.65452,66.02708,70.98899,22.65116,18.64622,8.514254,73.7465,20.61162,56.38496,V
1,1.530821,0,82.89681,65.08043,1,0.3692955,-0.6629573,-0.6512362,-0.09233841,-0.4594658,-0.8833826,0.1959448,-0.3814086,-0.9034008,-0.2631873,-0.5524775,0.7908862,-0.456664,-0.4879611,0.7438763,0,1,1,0,0,26.62531,66.04726,70.89811,22.06552,18.38042,8.092734,75.10052,19.98223,56.83636,V
1,1.409316,0,82.89681,56.37296,0.9375332,0.1908595,-0.5919285,-0.7830666,-0.1196294,-0.4847543,-0.8664306,0.1007308,-0.36429,-0.9258218,-0.3237658,-0.7887222,0.5225831,-0.4844935,-0.7660642,0.422388,0,1,1,0,0,29.26212,65.85741,71.57295,25.21957,21.40577,9.938145,60.91117,18.27501,47.66567,V
1,1.565541,0,82.89681,66.23775,0.9386122,0.3337693,-0.6728396,-0.6602158,-0.12066,-0.4443683,-0.8876812,0.1653222,-0.3770708,-0.9113101,-0.2388288,-0.4660263,0.8519274,-0.4114759,-0.4421075,0.7970123,0,1,1,0,0,26.98041,65.87489,71.14326,21.61009,18.55123,7.408481,78.2115,20.04393,57.02514,V
1,1.540181,0,82.89681,64.92323,0.9942283,0.263476,-0.7042552,-0.6592457,-0.1149645,-0.4948555,-0.8613369,0.1075259,-0.4810748,-0.8700604,-0.2550612,-0.5202045,0.8150651,-0.4244387,-0.5581443,0.7129703,0,1,1,0,0,27.01162,65.25502,70.03751,22.23927,19.46295,7.075643,74.53359,17.66171,55.59545,V
1,1.503546,0,82.89681,65.27439,1,0.2869276,-0.6911912,-0.6632701,-0.1447477,-0.4125942,-0.899341,0.1477834,-0.4140992,-0.8981547,-0.2792854,-0.5019133,0.8185858,-0.4330088,-0.5354612,0.7251101,0,1,1,0,0,26.38547,66.27637,70.8896,21.38819,19.41698,6.641501,75.2489,19.83331,57.56511,V
1,1.498268,0,82.89681,63.16349,1,0.2644933,-0.7027857,-0.6604056,-0.1457559,-0.4515577,-0.8802562,0.1423996,-0.4181848,-0.8971309,-0.3108811,-0.4320452,0.8465754,-0.4430554,-0.5127229,0.7354026,0,1,1,0,0,25.95672,65.82918,70.89095,21.24011,19.77641,6.441667,76.81811,19.95973,56.50532,V
1,1.489933,0,82.89681,63.5689,1,0.2795317,-0.70037,-0.6567678,-0.1497195,-0.4610544,-0.8746501,0.1116398,-0.4253454,-0.8981191,-0.3018113,-0.4776085,0.8251061,-0.4377002,-0.5176385,0.735166,0,1,1,0,0,25.68716,65.64521,70.99443,21.57383,19.64972,6.738118,75.43439,19.20826,56.72129,V
1,1.456861,0,82.89681,65.07487,1,0.2520182,-0.7176659,-0.649186,-0.1790641,-0.4374524,-0.8812329,0.1198506,-0.368518,-0.9218624,-0.2915854,-0.5035722,0.8132607,-0.4400171,-0.5421103,0.715892,0,1,1,0,0,25.9101,65.75909,71.64476,21.43798,19.74828,6.619538,75.06678,20.68967,57.51806,V
1,1.419715,0,82.89681,64.93439,1,0.2517373,-0.7243434,-0.6418372,-0.1581308,-0.4472438,-0.8803225,0.1068097,-0.3992619,-0.9105941,-0.3023833,-0.5553655,0.7746829,-0.4525625,-0.5910922,0.6676806,0,1,1,0,0,25.32014,65.66845,71.3399,21.56005,20.29564,6.579151,71.5202,19.40683,57.76936,V
1,1.377517,0,82.89681,64.65974,1,0.2659691,-0.7390025,-0.6189796,-0.138967,-0.4606389,-0.8766413,0.09842595,-0.4755604,-0.8741594,-0.34285,-0.6407351,0.6869588,-0.4962951,-0.62747,0.5999771,0,1,1,0,0,24.7524,65.69909,70.22244,23.56452,20.77618,7.827715,67.17556,18.04067,57.85863,V
1,1.399843,0,82.89681,64.45076,1,0.2465322,-0.6873043,-0.683253,-0.1537989,-0.4232096,-0.8928826,0.1123099,-0.4205121,-0.9003088,-0.2530012,-0.6690469,0.6988323,-0.4190844,-0.6670439,0.6159714,0,1,1,0,0,25.63906,65.72853,71.09018,22.55447,20.61342,7.764106,66.63379,19.35688,56.53632,V
1,1.474708,0,82.89681,64.75166,1,0.265739,-0.6795379,-0.6838208,-0.1791683,-0.3807298,-0.9071624,0.1537407,-0.3384044,-0.9283567,-0.2959856,-0.4929973,0.8181358,-0.4313013,-0.5313897,0.7291119,0,1,1,0,0,26.44451,66.54577,71.94933,21.02406,19.12089,6.820446,76.1995,21.61099,57.22371,V
1,1.569065,0,82.89681,66.93098,0.9440913,0.3221588,-0.6415288,-0.6961713,-0.1425127,-0.3116092,-0.9394625,0.244593,-0.288245,-0.925791,-0.3027979,-0.4762489,0.8255304,-0.4631311,-0.430224,0.7748658,0,1,1,0,0,27.58714,67.75696,71.46667,20.17236,17.88529,7.395635,76.53733,22.69627,57.8467,V
1,1.594017,0,82.89681,65.91685,1,0.4109746,-0.6254245,-0.6632829,-0.08117791,-0.4216836,-0.9031019,0.2557292,-0.3606972,-0.8969393,-0.2845056,-0.5149616,0.808623,-0.4546401,-0.4782629,0.7513767,0,1,1,0,0,26.31481,66.78661,70.59679,20.24456,17.57403,7.68808,73.77603,21.32228,57.82092,V
1,1.569054,0,82.89681,66.00784,1,0.3990518,-0.6427977,-0.6538874,-0.08076572,-0.4237475,-0.9021724,0.2480585,-0.3630727,-0.8981343,-0.2909401,-0.5224467,0.8015006,-0.4587632,-0.4901634,0.7411317,0,1,1,0,0,26.19228,66.77261,70.65612,20.48678,17.84836,7.655275,73.55252,21.03913,58.21495,V
1,1.589351,0,82.89681,65.42989,1,0.3781007,-0.6341942,-0.6744165,-0.09991056,-0.4212451,-0.9014269,0.2358329,-0.3616233,-0.9020041,-0.2709501,-0.5112013,0.8156343,-0.441421,-0.4677396,0.7657462,0,1,1,0,0,26.76128,66.58378,70.7607,20.60802,17.87011,7.60189,74.92098,21.29919,56.97989,V
1,1.567097,0,82.89681,64.53352,0.9619815,0.3279475,-0.6525686,-0.6830846,-0.1118371,-0.4503945,-0.8857976,0.1821263,-0.3922974,-0.9016278,-0.2297278,-0.5383576,0.8107998,-0.4180185,-0.4579532,0.7845632,0,1,1,0,0,27.371,65.89784,70.8362,21.79056,18.17912,8.143011,75.60032,20.13133,55.36845,V
1,1.611631,0,82.89681,64.1368,0.9435132,0.3612626,-0.636327,-0.6815991,-0.08317688,-0.4942526,-0.8653299,0.1607115,-0.4272131,-0.8897533,-0.2333157,-0.4967075,0.8359698,-0.4189711,-0.4809022,0.7701923,0,1,1,0,0,27.25328,65.45348,70.49538,21.03702,17.91442,7.546581,75.71751,18.62027,54.71677,V
1,1.634292,0,82.89681,63.15044,0.9676034,0.3841543,-0.60923,-0.6937321,-0.06905615,-0.5190818,-0.8519304,0.1610958,-0.4347064,-0.8860465,-0.1922623,-0.5234101,0.8301067,-0.3870028,-0.4912073,0.7803488,0,1,1,0,0,27.26759,64.89353,70.28133,20.8358,17.51937,7.797413,74.37801,18.48367,53.45751,V
1,1.606949,0,82.89681,62.8468,1,0.3907381,-0.6026821,-0.6957715,-0.07263398,-0.5238798,-0.8486897,0.1571035,-0.4438384,-0.8822278,-0.1756436,-0.5707069,0.8021489,-0.3772303,-0.5358205,0.7553765,0,1,1,0,0,27.1258,64.74462,70.20129,21.49462,17.80975,8.02228,73.22497,18.50195,53.17736,V
1,1.601834,0,82.89681,63.47361,1,0.3828771,-0.6246784,-0.6805748,-0.07002282,-0.5245511,-0.8484945,0.1567502,-0.4488581,-0.8797476,-0.1987357,-0.5348034,0.8212731,-0.39742,-0.5192689,0.7565825,0,1,1,0,0,26.96541,64.7977,70.17408,21.46269,17.99318,7.767984,74.3312,18.32369,53.90635,V
1,1.609465,0,82.89681,64.43407,0.9457121,0.3696577,-0.6423866,-0.6713365,-0.07848246,-0.4968922,-0.8642561,0.1645626,-0.4289915,-0.8881922,-0.2491015,-0.4804617,0.8408953,-0.4286331,-0.4760086,0.7679124,0,1,1,0,0,27.03971,65.5173,70.47732,21.15166,18.02418,7.581534,76.19608,18.55716,55.09775,V
1,1.596964,0,82.89681,64.82481,0.9385378,0.3659028,-0.644617,-0.6712556,-0.0858767,-0.4469437,-0.8904306,0.1942688,-0.3954415,-0.8977114,-0.2788798,-0.4766775,0.8336694,-0.4569936,-0.4380293,0.7741364,0,1,1,0,0,27.0622,66.31391,70.78863,21.1906,18.02914,7.67102,76.82695,19.49388,56.01374,V
1,1.575159,0,82.89681,65.503,1,0.3852077,-0.6357928,-0.6688667,-0.08659951,-0.4204251,-0.903185,0.238901,-0.3547792,-0.9039125,-0.2778743,-0.5094817,0.8143798,-0.4532013,-0.4583165,0.7645617,0,1,1,0,0,26.71082,66.78214,70.87468,21.18711,18.01251,7.857693,76.02486,20.98664,57.11296,V
1,1.607893,0,82.89681,65.98663,1,0.4100626,-0.6236298,-0.6655333,-0.08092328,-0.4086771,-0.9090844,0.2573252,-0.3632021,-0.8954709,-0.3006855,-0.4848936,0.821259,-0.4606217,-0.4702112,0.7528142,0,1,1,0,0,26.4975,67.09721,70.56705,20.04114,17.7015,7.384722,74.8164,21.23081,57.86929,V
1,1.578107,0,82.89681,65.60336,1,0.3716073,-0.6389725,-0.6735148,-0.07778263,-0.4127123,-0.9075342,0.2441925,-0.3545542,-0.9025859,-0.2964238,-0.4950308,0.8167481,-0.4491745,-0.4825522,0.7519212,0,1,1,0,0,26.69007,66.95045,70.81853,20.24579,17.96353,7.375926,74.58806,20.82555,57.27629,V
1,1.557233,0,82.89681,67.36811,1,0.3853247,-0.6230298,-0.6807046,-0.1075101,-0.3354335,-0.9359092,0.2487675,-0.3134904,-0.916427,-0.2928822,-0.5081465,0.8099427,-0.4584453,-0.4859375,0.7441053,0,1,1,0,0,26.93826,67.7813,71.24235,20.69868,18.0984,7.363594,76.13361,21.72107,58.52964,V
1,1.580455,0,82.89681,68.44671,0.9704946,0.3668516,-0.6137984,-0.6990504,-0.1208845,-0.3038756,-0.9450114,0.2485518,-0.2883956,-0.9246892,-0.283584,-0.50459,0.8154563,-0.4288691,-0.4831378,0.7633147,0,1,1,0,0,27.45635,68.03144,71.40327,20.1106,17.82632,7.438881,76.05415,22.085,58.45309,V
1,1.57039,0,82.89681,68.61365,0.9801627,0.3479868,-0.6207249,-0.7025709,-0.1243823,-0.2991766,-0.9460562,0.2402467,-0.2879591,-0.9270173,-0.2798131,-0.5134974,0.8111874,-0.4193291,-0.4966831,0.7599138,0,1,1,0,0,27.50398,67.95533,71.46962,20.18758,17.9211,7.433503,75.77103,21.94619,58.38572,V
1,1.530582,0,82.89681,69.14116,1,0.3424853,-0.6260008,-0.7005904,-0.1229168,-0.2850199,-0.9506077,0.23068,-0.2776149,-0.9325861,-0.2758061,-0.5498524,0.7884119,-0.4185254,-0.5351932,0.7337607,0,1,1,0,0,27.31085,67.95487,71.69405,20.50911,18.13888,7.425045,74.80873,21.63357,58.9038,V
1,1.556263,0,82.89681,69.00706,1,0.3567096,-0.613568,-0.7044803,-0.1244739,-0.2786671,-0.9522873,0.2281068,-0.2766598,-0.9335023,-0.2867497,-0.5363643,0.7937809,-0.4311244,-0.5148957,0.7409549,0,1,1,0,0,27.31691,68.03075,71.72596,20.14838,17.82081,7.441784,74.96996,21.57223,58.82601,V
1,1.560917,0,82.89681,68.77179,1,0.3606932,-0.6115134,-0.7042385,-0.1275886,-0.2879094,-0.9491203,0.2254071,-0.2828405,-0.9323052,-0.2887643,-0.5362512,0.7931266,-0.4352832,-0.5193052,0.7354255,0,1,1,0,0,27.16701,67.94173,71.68902,20.00086,17.77238,7.363511,74.5158,21.61194,58.75048,V
1,1.535704,0,82.89681,68.74089,1,0.3546559,-0.6193721,-0.7004266,-0.1268732,-0.2938891,-0.9473819,0.2275551,-0.2818924,-0.9320704,-0.2815241,-0.558993,0.7799172,-0.428543,-0.5414244,0.7233328,0,1,1,0,0,27.02905,67.82927,71.67042,20.32825,18.06181,7.365993,73.80997,21.69091,58.85617,V
1,1.555078,0,82.89681,68.79306,1,0.3666327,-0.6098197,-0.7026381,-0.1171698,-0.2902991,-0.9497355,0.229792,-0.2868144,-0.9300178,-0.2838572,-0.5537071,0.7828369,-0.4326531,-0.5354679,0.7253174,0,1,1,0,0,26.97848,67.89866,71.60557,20.09049,17.81069,7.406543,73.76487,21.42119,58.89647,V
1,1.555325,0,82.89681,68.77731,1,0.3758016,-0.6018955,-0.704624,-0.108705,-0.2931114,-0.9498783,0.2315422,-0.2848954,-0.9301735,-0.2722344,-0.5687081,0.7761826,-0.4229677,-0.5542679,0.716858,0,1,1,0,0,26.94348,67.82912,71.60021,20.1131,17.84111,7.374608,73.32326,21.22798,58.82146,V
1,1.52508,0,82.89681,69.06607,1,0.3747731,-0.6088201,-0.6992018,-0.09966595,-0.2919071,-0.9512397,0.2278783,-0.2832746,-0.9315723,-0.2692049,-0.601181,0.752403,-0.4199493,-0.5859672,0.6930261,0,1,1,0,0,26.67134,67.7515,71.6571,20.51897,18.20647,7.379669,72.18607,20.85163,59.22813,V
1,1.535758,0,82.89681,68.74072,1,0.3793489,-0.5903841,-0.7124192,-0.09250739,-0.278863,-0.9558649,0.231122,-0.2628761,-0.9367383,-0.2586906,-0.6060002,0.7522253,-0.4104493,-0.5876719,0.6972611,0,1,1,0,0,27.03173,67.8802,71.82441,20.4227,18.03542,7.424584,72.76355,20.73634,58.62591,V
1,1.514629,0,82.89681,68.48914,1,0.3531011,-0.6127433,-0.7070115,-0.09548115,-0.2874952,-0.9530109,0.2369714,-0.291776,-0.9266667,-0.2780808,-0.6136012,0.7390295,-0.4295674,-0.5973352,0.6772463,0,1,1,0,0,26.95034,67.83813,71.45539,20.9426,18.44813,7.432283,71.96161,20.92742,58.58501,V
1,1.472121,0,82.89681,69.04408,1,0.3133131,-0.6263038,-0.7138476,-0.1018557,-0.2302714,-0.9677812,0.2384042,-0.2911292,-0.9265027,-0.2867311,-0.6298361,0.7218668,-0.4339777,-0.6174768,0.6560379,0,1,1,0,0,27.23549,68.15338,71.42407,21.39297,18.92533,7.350999,71.3215,21.07235,58.83643,V
1,1.509907,0,82.89681,68.99157,1,0.3271322,-0.6413997,-0.6939675,-0.1167237,-0.269415,-0.9559242,0.2350125,-0.2979696,-0.9251936,-0.2881571,-0.5482219,0.7851231,-0.4342737,-0.5668364,0.7000735,0,1,1,0,0,26.98311,67.88117,71.3688,20.28885,18.56534,6.840935,72.9781,21.4317,59.32489,V
1,1.535495,0,82.89681,68.79968,1,0.3265584,-0.6486179,-0.6874986,-0.1261879,-0.313448,-0.9411838,0.2392947,-0.3096257,-0.9202554,-0.2617777,-0.5245882,0.8101109,-0.4110744,-0.5279711,0.7431449,0,1,1,0,0,27.1432,67.4559,71.22316,20.3648,18.35506,7.027593,74.40946,21.97658,58.93192,V
1,1.597155,0,82.89681,67.86722,0.937663,0.3669747,-0.6221697,-0.691545,-0.1192141,-0.3552982,-0.9271198,0.2498572,-0.3080835,-0.917963,-0.2381702,-0.4835768,0.8422757,-0.395284,-0.4921721,0.7755754,0,1,1,0,0,27.4898,67.17128,71.15375,19.79102,17.78933,6.999181,75.77235,22.2761,57.84853,V
1,1.623995,0,82.89681,66.2369,0.9938046,0.4037824,-0.6147341,-0.677541,-0.112946,-0.396006,-0.9112751,0.2416847,-0.360658,-0.9008408,-0.2428732,-0.4919039,0.8360881,-0.406134,-0.4462106,0.7974656,0,1,1,0,0,26.86517,66.7843,70.68214,19.91179,17.25632,7.819561,74.72805,21.69592,57.64111,V
1,1.558199,0,82.89681,64.87852,1,0.3714741,-0.6501943,-0.6627626,-0.1132062,-0.4525134,-0.8845428,0.2294043,-0.3741145,-0.8985611,-0.2331053,-0.558337,0.796192,-0.4118399,-0.4982435,0.7629819,0,1,1,0,0,26.582,65.92322,70.60911,21.11508,17.92731,8.118298,72.97162,21.78325,56.70601,V
1,1.605709,0,82.89681,64.58898,0.9802089,0.3670016,-0.6436677,-0.6715667,-0.1174317,-0.4622448,-0.8789423,0.2345337,-0.3788297,-0.8952553,-0.2393324,-0.4875565,0.8396479,-0.4106748,-0.4562453,0.7894216,0,1,1,0,0,26.74623,65.7729,70.49995,20.44666,17.70976,7.605489,74.89788,22.14223,55.93959,V
1,1.581775,0,82.89681,64.67144,1,0.3790014,-0.6503599,-0.6583236,-0.1224034,-0.4574901,-0.8807498,0.2301774,-0.3814913,-0.8952557,-0.2383324,-0.5547786,0.7971314,-0.4181392,-0.4997525,0.7585559,0,1,1,0,0,26.52359,65.87738,70.45921,20.73767,17.87956,7.86527,72.85699,22.02132,56.69573,V
1,1.54011,0,82.89681,63.50529,1,0.3730651,-0.6567745,-0.6553394,-0.09948288,-0.5121761,-0.8530995,0.2068806,-0.4186935,-0.884249,-0.2134984,-0.5874081,0.7806217,-0.4199441,-0.4974061,0.7591008,0,1,1,0,0,26.43868,64.9353,70.12059,22.62156,18.23188,8.796401,73.14445,20.83194,55.29542,V
1,1.598784,0,82.89681,63.2478,0.9828556,0.3451222,-0.6645275,-0.6627925,-0.1013378,-0.5334556,-0.8397355,0.19401,-0.4443813,-0.8745773,-0.2418363,-0.5061113,0.8278687,-0.4281213,-0.4595779,0.7781391,0,1,1,0,0,26.73778,64.67133,69.83523,21.76713,18.0217,8.178769,74.66096,20.43287,54.24171,V
1,1.617023,0,82.89681,64.28342,0.9919484,0.3745684,-0.6420785,-0.6689048,-0.1066842,-0.5074785,-0.8550345,0.1940641,-0.4060185,-0.8930219,-0.228732,-0.4812123,0.8462366,-0.4070248,-0.4132068,0.8146109,0,1,1,0,0,26.6278,65.04436,70.44585,21.14443,17.71359,8.135445,75.75562,20.80714,55.15295,V
1,1.579235,0,82.89681,64.70817,0.9526854,0.30377,-0.6739783,-0.6734071,-0.1347288,-0.4760109,-0.869058,0.1673222,-0.420414,-0.8917709,-0.2217788,-0.4947532,0.840258,-0.3963521,-0.393635,0.8294315,0,1,1,0,0,27.13267,65.21205,70.56277,21.95222,18.35843,8.392337,76.24782,20.63214,55.17571,V
1,1.594512,0,82.89681,65.14985,0.9221002,0.2854373,-0.687648,-0.667582,-0.1247171,-0.4636848,-0.8771785,0.1573149,-0.432793,-0.8876611,-0.2661133,-0.4210387,0.8671275,-0.4195423,-0.4091019,0.8103209,0,1,1,0,0,27.08496,65.54519,70.47135,21.03291,18.71498,7.080186,76.95821,19.70572,55.95641,V
1,1.55758,0,82.89681,63.60058,1,0.2611728,-0.7196465,-0.6433488,-0.1590532,-0.509949,-0.8453722,0.1120168,-0.4905685,-0.8641729,-0.3005924,-0.4124356,0.8599657,-0.4394658,-0.4781496,0.7604228,0,1,1,0,0,25.93508,64.74657,69.85101,21.20818,19.62777,6.45471,75.58518,19.45643,55.81228,V
1,1.510131,0,82.89681,63.37211,1,0.2658129,-0.700472,-0.6623311,-0.1723595,-0.4825111,-0.8587638,0.1210138,-0.4468749,-0.8863737,-0.2774145,-0.4785964,0.8330587,-0.4091268,-0.5130391,0.7545901,0,1,1,0,0,26.07175,65.09409,70.51026,21.47212,19.74666,6.588462,74.83081,20.27863,55.49345,V
